@Lesson,Quartier étoile 6a - Planète Magasin
het avondmaal,le dîner
het menu,le menu
de biefstuk,le bifteck
de frieten,les frites
de spaghetti,les spaghettis
de vis,le poisson
de saus,la souce
het vlees,la viande
de fijne vleeswaren,la charcuterie
een kopje ...,une tasse de ...
het glas,le verre
een glas ...,un verre de ...
de prijs,le prix
de kilo,le kilo
een kilo ...,un kilo de ...
de fles,la bouteille
een fles ...,une bouteille de ...
het drankje,la boisson
de mayonaise,la mayonnaise
komen,venir
klaarmaken,préparer
betalen,payer
alstublieft,s'il vous plaît
dank u wel,merci bien
Neen, dank u!,Non, merci!
Akkoord!,D'accord!
